01/07-06:32:24.332683 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10504,84,86016,8,0,1,107
01/07-06:32:24.332683 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10504,84,86016,8,0,1,107
01/07-06:32:25.334934 ,1,366,7,"ICMP PING *NIX",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10506,84,86016,8,0,1,108
01/07-06:32:25.334934 ,1,384,5,"ICMP PING",ICMP,125.164.54.12,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,55,0,10506,84,86016,8,0,1,108
01/07-06:32:46.151652 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:33:32.965182 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,0.0.0.0,,224.0.0.1,,00:14:5E:46:2D:F0,01:00:5E:00:00:01,0x3C,,,,,,1,192,0,32,32768,,,,
01/07-06:33:46.162093 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:34:46.170138 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:35:37.964823 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,0.0.0.0,,224.0.0.1,,00:14:5E:46:2D:F0,01:00:5E:00:00:01,0x3C,,,,,,1,192,0,32,32768,,,,
01/07-06:35:46.171806 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:36:46.170461 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:37:42.965621 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,0.0.0.0,,224.0.0.1,,00:14:5E:46:2D:F0,01:00:5E:00:00:01,0x3C,,,,,,1,192,0,32,32768,,,,
01/07-06:37:46.173997 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:38:46.184327 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:39:46.194669 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:39:47.964877 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,0.0.0.0,,224.0.0.1,,00:14:5E:46:2D:F0,01:00:5E:00:00:01,0x3C,,,,,,1,192,0,32,32768,,,,
01/07-06:39:49.246189 ,1,404,6,"ICMP Destination Unreachable Protocol Unreachable",ICMP,112.140.160.160,,112.140.160.15,,A4:DC:BE:F1:10:7B,00:0C:29:67:4E:0E,0x4A,,,,,,255,192,4929,60,61440,3,2,0,0
01/07-06:40:46.202706 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:41:46.205737 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:41:52.965537 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,0.0.0.0,,224.0.0.1,,00:14:5E:46:2D:F0,01:00:5E:00:00:01,0x3C,,,,,,1,192,0,32,32768,,,,
01/07-06:41:57.046343 ,1,404,6,"ICMP Destination Unreachable Protocol Unreachable",ICMP,112.140.160.160,,112.140.160.15,,A4:DC:BE:F1:10:7B,00:0C:29:67:4E:0E,0x4A,,,,,,255,192,4939,60,61440,3,2,0,0
01/07-06:42:46.216181 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:43:46.226588 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:43:57.964936 ,1,527,8,"BAD-TRAFFIC same SRC/DST",,0.0.0.0,,224.0.0.1,,00:14:5E:46:2D:F0,01:00:5E:00:00:01,0x3C,,,,,,1,192,0,32,32768,,,,
01/07-06:44:46.236951 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
01/07-06:45:42.525812 ,1,366,7,"ICMP PING *NIX",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,58812,84,86016,8,0,15362,1
01/07-06:45:42.525812 ,1,384,5,"ICMP PING",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,58812,84,86016,8,0,15362,1
01/07-06:45:43.528211 ,1,366,7,"ICMP PING *NIX",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,58893,84,86016,8,0,15362,2
01/07-06:45:43.528211 ,1,384,5,"ICMP PING",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,58893,84,86016,8,0,15362,2
01/07-06:45:44.527665 ,1,366,7,"ICMP PING *NIX",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,58899,84,86016,8,0,15362,3
01/07-06:45:44.527665 ,1,384,5,"ICMP PING",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,58899,84,86016,8,0,15362,3
01/07-06:45:45.527678 ,1,366,7,"ICMP PING *NIX",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,58982,84,86016,8,0,15362,4
01/07-06:45:45.527678 ,1,384,5,"ICMP PING",ICMP,88.198.46.51,,112.140.160.15,,4C:5E:0C:6A:22:DB,00:0C:29:67:4E:0E,0x62,,,,,,52,0,58982,84,86016,8,0,15362,4
01/07-06:45:46.246884 ,1,527,8,"BAD-TRAFFIC same SRC/DST",UDP,0.0.0.0,5678,255.255.255.255,5678,D4:CA:6D:45:A0:18,FF:FF:FF:FF:FF:FF,0x81,,,,,,64,0,0,115,117760,,,,
